#date+time,005-atp
"01-27-2023 1500",14.3
"01-27-2023 1600",14.5
"01-27-2023 1700",15.0
"01-27-2023 1800",15.8
"01-27-2023 1900",15.8
"01-27-2023 2000",14.7
"01-27-2023 2100",14.7
"01-27-2023 2200",14.7
"01-27-2023 2300",14.9
"01-28-2023 0000",15.0
"01-28-2023 0100",15.0
"01-28-2023 0200",15.8
"01-28-2023 0300",15.9
"01-28-2023 0400",16.2
"01-28-2023 0500",17.1
"01-28-2023 0600",17.1
"01-28-2023 0700",17.0
"01-28-2023 0800",17.1
"01-28-2023 0900",17.4
"01-28-2023 1000",17.6
"01-28-2023 1100",17.4
"01-28-2023 1200",17.0
"01-28-2023 1300",16.3
"01-28-2023 1400",17.0
"01-28-2023 1500",17.4
"01-28-2023 1600",17.9
"01-28-2023 1700",18.6
"01-28-2023 1800",18.8
"01-28-2023 1900",19.5
"01-28-2023 2000",19.8
"01-28-2023 2100",19.8
"01-28-2023 2200",19.5
"01-28-2023 2300",19.2
"01-29-2023 0000",18.9
"01-29-2023 0100",18.4
"01-29-2023 0200",18.9
"01-29-2023 0300",19.8
"01-29-2023 0400",19.9
"01-29-2023 0500",19.6
"01-29-2023 0600",19.5
"01-29-2023 0700",19.5
"01-29-2023 0800",19.3
"01-29-2023 0900",19.0
"01-29-2023 1000",19.3
"01-29-2023 1100",19.3
"01-29-2023 1200",20.0
"01-29-2023 1300",19.8
"01-29-2023 1400",19.2
"01-29-2023 1500",20.0
"01-29-2023 1600",20.6
"01-29-2023 1700",21.4
"01-29-2023 1800",22.2
"01-29-2023 1900",21.2
"01-29-2023 2000",21.4
"01-29-2023 2100",22.2
"01-29-2023 2200",21.9
"01-29-2023 2300",21.3
"01-30-2023 0000",20.6
"01-30-2023 0100",20.8
"01-30-2023 0200",20.2
"01-30-2023 0300",20.0
"01-30-2023 0400",20.1
"01-30-2023 0500",19.8
"01-30-2023 0600",19.8
"01-30-2023 0700",19.0
"01-30-2023 0800",19.1
"01-30-2023 0900",17.7
"01-30-2023 1000",16.4
"01-30-2023 1100",15.6
"01-30-2023 1200",14.9
"01-30-2023 1300",13.8
"01-30-2023 1400",13.0
"01-30-2023 1500",12.4
"01-30-2023 1600",11.4
"01-30-2023 1700",11.1
"01-30-2023 1800",10.4
"01-30-2023 1900",9.7
"01-30-2023 2000",10.3
"01-30-2023 2100",9.7
"01-30-2023 2200",9.0
"01-30-2023 2300",8.9
"01-31-2023 0000",8.4
"01-31-2023 0100",7.7
"01-31-2023 0200",7.4
"01-31-2023 0300",6.8
"01-31-2023 0400",5.9
"01-31-2023 0500",5.6
"01-31-2023 0600",5.8
"01-31-2023 0700",5.8
"01-31-2023 0800",5.8
"01-31-2023 0900",NA
"01-31-2023 1000",5.4
"01-31-2023 1100",NA
"01-31-2023 1200",NA
"01-31-2023 1300",NA
"01-31-2023 1400",4.5
"01-31-2023 1500",4.8
"01-31-2023 1600",5.0
"01-31-2023 1700",4.8
"01-31-2023 1800",5.0
"01-31-2023 1900",5.0
"01-31-2023 2000",5.0
"01-31-2023 2100",5.2
"01-31-2023 2200",5.7
"01-31-2023 2300",5.5
"02-01-2023 0000",4.8
"02-01-2023 0100",4.1
"02-01-2023 0200",4.1
"02-01-2023 0300",4.0
"02-01-2023 0400",4.0
"02-01-2023 0500",4.3
"02-01-2023 0600",4.0
"02-01-2023 0700",3.8
"02-01-2023 0800",3.5
"02-01-2023 0900",3.4
"02-01-2023 1000",NA
"02-01-2023 1100",3.3
"02-01-2023 1200",NA
"02-01-2023 1300",NA
"02-01-2023 1400",NA
"02-01-2023 1500",NA
"02-01-2023 1600",3.5
"02-01-2023 1700",4.0
"02-01-2023 1800",4.3
"02-01-2023 1900",4.5
"02-01-2023 2000",4.4
"02-01-2023 2100",NA
"02-01-2023 2200",NA
"02-01-2023 2300",NA
"02-02-2023 0000",NA
"02-02-2023 0100",4.4
"02-02-2023 0200",4.2
"02-02-2023 0300",4.2
"02-02-2023 0400",4.0
"02-02-2023 0500",NA
"02-02-2023 0600",NA
"02-02-2023 0700",4.2
"02-02-2023 0800",4.0
"02-02-2023 0900",3.9
"02-02-2023 1000",4.1
"02-02-2023 1100",4.1
"02-02-2023 1200",NA
"02-02-2023 1300",NA
"02-02-2023 1400",NA
"02-02-2023 1500",NA
"02-02-2023 1600",NA
"02-02-2023 1700",NA
"02-02-2023 1800",4.7
"02-02-2023 1900",4.8
"02-02-2023 2000",5.6
"02-02-2023 2100",6.5
"02-02-2023 2200",7.0
"02-02-2023 2300",7.6
"02-03-2023 0000",7.8
"02-03-2023 0100",8.0
"02-03-2023 0200",8.0
"02-03-2023 0300",7.7
"02-03-2023 0400",7.5
"02-03-2023 0500",7.1
"02-03-2023 0600",6.7
"02-03-2023 0700",6.7
"02-03-2023 0800",6.7
"02-03-2023 0900",6.5
"02-03-2023 1000",6.5
"02-03-2023 1100",6.6
"02-03-2023 1200",6.2
"02-03-2023 1300",6.3
"02-03-2023 1400",6.5
"02-03-2023 1500",6.7
"02-03-2023 1600",7.0
"02-03-2023 1700",7.8
"02-03-2023 1800",8.4
"02-03-2023 1900",9.1
"02-03-2023 2000",9.9
"02-03-2023 2100",11.0
"02-03-2023 2200",11.2
"02-03-2023 2300",11.1
"02-04-2023 0000",11.3
"02-04-2023 0100",11.3
"02-04-2023 0200",11.1
"02-04-2023 0300",10.9
"02-04-2023 0400",10.9
"02-04-2023 0500",10.5
"02-04-2023 0600",10.2
"02-04-2023 0700",10.1
"02-04-2023 0800",9.6
"02-04-2023 0900",9.5
"02-04-2023 1000",9.1
"02-04-2023 1100",8.6
"02-04-2023 1200",9.0
"02-04-2023 1300",8.9
"02-04-2023 1400",8.8
"02-04-2023 1500",9.8
"02-04-2023 1600",11.2
"02-04-2023 1700",13.1
"02-04-2023 1800",13.1
"02-04-2023 1900",15.4
"02-04-2023 2000",16.6
"02-04-2023 2100",17.2
"02-04-2023 2200",17.4
"02-04-2023 2300",17.2
"02-05-2023 0000",16.2
"02-05-2023 0100",15.1
"02-05-2023 0200",14.8
"02-05-2023 0300",16.9
"02-05-2023 0400",17.4
"02-05-2023 0500",16.6
"02-05-2023 0600",16.0
"02-05-2023 0700",14.3
"02-05-2023 0800",13.3
"02-05-2023 0900",13.0
"02-05-2023 1000",12.7
"02-05-2023 1100",13.0
"02-05-2023 1200",12.4
"02-05-2023 1300",12.5
"02-05-2023 1400",12.7
"02-05-2023 1500",14.8
"02-05-2023 1600",16.3
"02-05-2023 1700",17.1
"02-05-2023 1800",21.9
"02-05-2023 1900",21.7
"02-05-2023 2000",21.8
"02-05-2023 2100",21.1
"02-05-2023 2200",19.8
