#date+time,013-atp
"02-02-2022 0100",15.7
"02-02-2022 0200",15.6
"02-02-2022 0300",15.8
"02-02-2022 0400",16.4
"02-02-2022 0500",16.7
"02-02-2022 0600",17.0
"02-02-2022 0700",17.7
"02-02-2022 0800",16.8
"02-02-2022 0900",16.8
"02-02-2022 1000",17.7
"02-02-2022 1100",17.9
"02-02-2022 1200",18.1
"02-02-2022 1300",18.1
"02-02-2022 1400",18.9
"02-02-2022 1500",NA
"02-02-2022 1600",20.9
"02-02-2022 1700",22.1
"02-02-2022 1800",21.9
"02-02-2022 1900",22.3
"02-02-2022 2000",22.4
"02-02-2022 2100",22.1
"02-02-2022 2200",22.2
"02-02-2022 2300",21.6
"02-03-2022 0000",20.7
"02-03-2022 0100",19.9
"02-03-2022 0200",20.0
"02-03-2022 0300",19.9
"02-03-2022 0400",20.1
"02-03-2022 0500",20.0
"02-03-2022 0600",19.7
"02-03-2022 0700",13.8
"02-03-2022 0800",10.7
"02-03-2022 0900",8.9
"02-03-2022 1000",8.2
"02-03-2022 1100",7.5
"02-03-2022 1200",7.4
"02-03-2022 1300",7.4
"02-03-2022 1400",7.4
"02-03-2022 1500",6.2
"02-03-2022 1600",6.2
"02-03-2022 1700",5.9
"02-03-2022 1800",5.7
"02-03-2022 1900",5.7
"02-03-2022 2000",5.7
"02-03-2022 2100",5.2
"02-03-2022 2200",4.5
"02-03-2022 2300",3.9
"02-04-2022 0000",3.4
"02-04-2022 0100",3.0
"02-04-2022 0200",2.3
"02-04-2022 0300",2.5
"02-04-2022 0400",2.2
"02-04-2022 0500",1.9
"02-04-2022 0600",1.4
"02-04-2022 0700",1.1
"02-04-2022 0800",0.3
"02-04-2022 0900",-0.2
"02-04-2022 1000",-0.5
"02-04-2022 1100",-0.8
"02-04-2022 1200",-0.8
"02-04-2022 1300",-0.7
"02-04-2022 1400",-1.0
"02-04-2022 1500",-0.8
"02-04-2022 1600",-0.7
"02-04-2022 1700",NA
"02-04-2022 1800",0.6
"02-04-2022 1900",1.6
"02-04-2022 2000",2.8
"02-04-2022 2100",4.3
"02-04-2022 2200",5.6
"02-04-2022 2300",5.9
"02-05-2022 0000",6.3
"02-05-2022 0100",6.2
"02-05-2022 0200",5.8
"02-05-2022 0300",5.5
"02-05-2022 0400",5.6
"02-05-2022 0500",5.2
"02-05-2022 0600",4.6
"02-05-2022 0700",4.1
"02-05-2022 0800",2.8
