dateAndTime,packeryATP_lighthouse,npsbiWTP_lighthouse
01-24-2019 1800,13.8,14.0
01-24-2019 1900,14.7,14.6
01-24-2019 2000,16.3,14.7
01-24-2019 2100,16.0,14.9
01-24-2019 2200,16.3,14.8
01-24-2019 2300,16.2,14.9
01-25-2019 0000,15.3,14.6
01-25-2019 0100,15.0,14.5
01-25-2019 0200,15.1,14.4
01-25-2019 0300,15.1,14.2
01-25-2019 0400,15.0,14.0
01-25-2019 0500,14.9,13.9
01-25-2019 0600,14.9,14.0
01-25-2019 0700,15.1,13.7
01-25-2019 0800,15.1,13.8
01-25-2019 0900,15.2,13.8
01-25-2019 1000,14.9,13.4
01-25-2019 1100,14.9,13.3
01-25-2019 1200,14.9,13.6
01-25-2019 1300,15.1,13.6
01-25-2019 1400,15.3,13.5
01-25-2019 1500,16.1,13.7
01-25-2019 1600,16.5,13.8
01-25-2019 1700,16.8,14.2
01-25-2019 1800,16.9,14.6
01-25-2019 1900,16.9,15.0
01-25-2019 2000,16.9,15.8
01-25-2019 2100,16.9,16.3
01-25-2019 2200,17.0,16.8
01-25-2019 2300,16.7,16.9
01-26-2019 0000,16.2,17.2
01-26-2019 0100,16.3,17.0
01-26-2019 0200,16.5,16.4
01-26-2019 0300,16.5,16.3
01-26-2019 0400,16.6,15.1
01-26-2019 0500,16.5,15.1
01-26-2019 0600,16.6,14.8
01-26-2019 0700,16.6,14.7
01-26-2019 0800,16.7,14.7
01-26-2019 0900,16.7,14.7
01-26-2019 1000,16.5,14.9
01-26-2019 1100,16.7,14.8
01-26-2019 1200,16.0,14.6
01-26-2019 1300,15.7,14.5
01-26-2019 1400,15.7,14.7
01-26-2019 1500,16.4,14.8
01-26-2019 1600,16.8,14.8
01-26-2019 1700,15.7,14.6
01-26-2019 1800,15.5,14.8
01-26-2019 1900,16.0,14.9
01-26-2019 2000,15.2,14.8
01-26-2019 2100,14.4,14.9
01-26-2019 2200,14.5,14.9
01-26-2019 2300,14.4,14.9
01-27-2019 0000,14.3,14.9
01-27-2019 0100,14.4,14.7
01-27-2019 0200,14.3,14.7
01-27-2019 0300,13.6,14.7
01-27-2019 0400,13.3,14.6
01-27-2019 0500,13.6,14.6
01-27-2019 0600,13.5,14.5
01-27-2019 0700,13.5,14.4
01-27-2019 0800,13.1,14.4
01-27-2019 0900,12.8,14.3
01-27-2019 1000,13.2,14.2
01-27-2019 1100,13.2,14.1
01-27-2019 1200,12.9,14.0
01-27-2019 1300,12.9,13.9
01-27-2019 1400,12.3,13.8
01-27-2019 1500,12.0,13.9
01-27-2019 1600,13.3,14.2
01-27-2019 1700,15.5,14.6
01-27-2019 1800,16.5,15.2
01-27-2019 1900,16.4,15.7
01-27-2019 2000,16.9,15.9
01-27-2019 2100,17.5,16.1
01-27-2019 2200,16.5,15.9
01-27-2019 2300,16.4,16.2
01-28-2019 0000,15.5,16.3
01-28-2019 0100,15.2,15.9
01-28-2019 0200,15.3,15.5
01-28-2019 0300,15.2,15.5
01-28-2019 0400,15.1,15.4
01-28-2019 0500,14.9,15.3
01-28-2019 0600,14.8,15.2
01-28-2019 0700,14.7,15.1
01-28-2019 0800,14.3,15.1
01-28-2019 0900,14.1,15.0
01-28-2019 1000,13.5,14.9
01-28-2019 1100,14.4,14.9
01-28-2019 1200,14.9,14.8
01-28-2019 1300,14.8,14.8
01-28-2019 1400,14.8,14.8
01-28-2019 1500,14.6,14.8
01-28-2019 1600,16.5,15.0
01-28-2019 1700,17.8,15.4
01-28-2019 1800,18.4,15.8
01-28-2019 1900,18.9,16.2
01-28-2019 2000,19.3,16.6
01-28-2019 2100,19.5,16.9
01-28-2019 2200,19.1,17.3
01-28-2019 2300,19.1,17.3
01-29-2019 0000,18.3,17.1
01-29-2019 0100,18.0,16.9
01-29-2019 0200,17.7,16.7
01-29-2019 0300,18.0,16.6
01-29-2019 0400,17.6,16.4
01-29-2019 0500,17.1,16.3
01-29-2019 0600,15.1,16.3
01-29-2019 0700,14.5,16.1
01-29-2019 0800,12.9,15.7
01-29-2019 0900,11.8,15.4
01-29-2019 1000,10.9,15.1
01-29-2019 1100,9.8,14.9
01-29-2019 1200,8.9,14.3
01-29-2019 1300,8.2,14.1
01-29-2019 1400,7.4,13.9
01-29-2019 1500,7.2,13.6
01-29-2019 1600,7.9,13.5
01-29-2019 1700,8.1,13.2
01-29-2019 1800,9.2,13.8
01-29-2019 1900,10.2,13.8
01-29-2019 2000,10.2,13.6
01-29-2019 2100,10.4,14.4
01-29-2019 2200,10.7,14.4
01-29-2019 2300,10.4,14.0
01-30-2019 0000,10.1,14.0
01-30-2019 0100,9.8,13.7
01-30-2019 0200,9.9,13.3
01-30-2019 0300,9.9,13.2
01-30-2019 0400,10.3,13.1
01-30-2019 0500,10.3,12.9
01-30-2019 0600,10.3,13.1
01-30-2019 0700,10.3,13.1
01-30-2019 0800,10.1,13.2
01-30-2019 0900,10.0,12.9
01-30-2019 1000,12.0,12.4
01-30-2019 1100,12.8,12.2
01-30-2019 1200,13.1,12.1
01-30-2019 1300,13.1,11.8
01-30-2019 1400,10.2,12.2
01-30-2019 1500,10.8,12.4
01-30-2019 1600,11.6,12.0
01-30-2019 1700,12.4,12.5
01-30-2019 1800,12.6,12.0
01-30-2019 1900,13.6,12.1
01-30-2019 2000,12.8,12.2
01-30-2019 2100,12.8,12.5
01-30-2019 2200,13.1,12.5
01-30-2019 2300,14.0,12.6
01-31-2019 0000,14.0,12.5
01-31-2019 0100,14.4,12.7
01-31-2019 0200,15.3,12.5
01-31-2019 0300,15.4,12.5
01-31-2019 0400,15.5,12.6
01-31-2019 0500,15.8,12.6
01-31-2019 0600,15.8,12.7
01-31-2019 0700,16.0,12.7
01-31-2019 0800,15.9,12.9
01-31-2019 0900,15.3,12.9
01-31-2019 1000,15.1,12.9
01-31-2019 1100,15.2,12.9
01-31-2019 1200,14.7,13.0
01-31-2019 1300,14.9,13.0
01-31-2019 1400,14.9,13.0
01-31-2019 1500,15.4,13.1
01-31-2019 1600,15.8,13.3
01-31-2019 1700,16.5,13.5
01-31-2019 1800,16.5,13.7
01-31-2019 1900,17.2,14.1
01-31-2019 2000,16.8,14.2
01-31-2019 2100,17.4,13.9
01-31-2019 2200,17.2,14.2
01-31-2019 2300,17.2,14.8
02-01-2019 0000,16.1,15.0
02-01-2019 0100,16.2,14.5
02-01-2019 0200,16.4,14.9
02-01-2019 0300,16.8,15.1
02-01-2019 0400,16.8,14.9
02-01-2019 0500,17.1,14.9
02-01-2019 0600,16.9,14.9
02-01-2019 0700,17.0,15.0
02-01-2019 0800,17.2,15.0
02-01-2019 0900,17.2,15.1
02-01-2019 1000,17.2,14.7
02-01-2019 1100,17.8,15.1
02-01-2019 1200,17.2,15.1
02-01-2019 1300,16.1,14.8
02-01-2019 1400,16.0,14.9
02-01-2019 1500,15.6,15.0
02-01-2019 1600,16.3,15.0
02-01-2019 1700,17.2,15.3
02-01-2019 1800,18.2,15.5
02-01-2019 1900,17.9,15.7
02-01-2019 2000,17.3,16.3
02-01-2019 2100,17.4,16.8
02-01-2019 2200,17.2,17.0
02-01-2019 2300,16.1,17.0
